10/16/15
Module Metrics

Program: PopcornTime_Android
Module Name,Mod #,v(G),ev(G),iv(G),# Lines,Line #
"FormatTTML.parseFile(java.lang.String,java.lang.String[])",190,48,12,37,199,45
"FormatASS.parseStyleForASS(java.lang.String[],java.lang.String[],int,boolean,java.lang.String)",184,37,1,17,128,342
"FormatASS.parseFile(java.lang.String,java.lang.String[])",183,31,11,25,156,50
Time.getTime(java.lang.String),427,29,1,29,155,84
"Style.getRGBValue(java.lang.String,java.lang.String)",408,27,1,26,75,76
StorageUtils.getAllStorageLocations(),361,26,1,24,91,50
FormatTTML.toFile(TimedTextObject),192,23,4,11,115,246
BaseVideoPlayerFragment.changeSurfaceSize(boolean),737,23,3,16,87,454
FormatASS.toFile(TimedTextObject),185,22,6,16,124,208
UnicodeBOMInputStream.UnicodeBOMInputStream(java.io.InputStream),473,21,20,3,55,152
"FormatSRT.parseFile(java.lang.String,java.lang.String[])",187,20,12,12,88,53
"FormatVTT.parseFile(java.lang.String,java.lang.String[])",194,20,12,12,87,31
"FormatASS.getAlignForASS(boolean,java.lang.String)",179,20,1,18,48,568
"FormatTTML.parseTimeExpression(java.lang.String,TimedTextObject,org.w3c.dom.Document)",191,17,7,14,91,436
PopcornUpdater.checkUpdates(boolean),1201,16,9,12,50,165
HaruProvider.HaruResponse.formatDetailForPopcorn(),202,16,4,15,105,267
EZTVProvider.EZTVReponse.formatDetailForPopcorn(),144,16,4,14,88,226
"pct.droid.base.providers.subs.OpenSubsProvider.1.__Anon_001_.onResponse(long,java.lang.Object)",659,15,13,13,49,58
"FormatTTML.parseColor(java.lang.String,TimedTextObject)",189,15,6,9,57,371
"BeamManager.playVideo(pct.droid.base.torrent.StreamInfo,LaunchListener)",104,14,4,14,64,232
pct.droid.base.providers.media.YTSProvider.__Anon_001_.onResponse(com.squareup.okhttp.Response),645,13,10,13,33,192
"YTSProvider.getList(java.util.ArrayList,Filters,Callback)",523,13,1,8,71,95
BaseVideoPlayerFragment.progressSubtitleCaption(),767,12,11,10,19,557
pct.droid.base.providers.subs.SubsProvider.__Anon_001_.onResponse(com.squareup.okhttp.Response),665,12,5,11,47,102
"EZTVProvider.getList(java.util.ArrayList,Filters,Callback)",148,12,1,6,68,61
"BeamDeviceAdapter.getView(int,android.view.View,android.view.ViewGroup)",73,12,1,4,55,99
